place,kde:amenity_hospital,kde:amenity_place_of_worship,kde:amenity_police,kde:leisure_*,kde:tourism_*,kde:shop_*,kde:highway_bus_stop,kde:highway_residential,kde:highway_primary
719,1.2708605865957199,3.4031098613636352,3.2799834359677136,2.4375831358474613,2.080072557291623,3.1070234309311093,3.3006475660635815,3.057103264212527,3.029617270530867
578,3.7247843600115655,4.01602600117241,4.30840222397315,4.606849964873554,3.9345787415382754,4.255213995788942,4.531841046990756,3.398546302531839,3.8106885903034353
609,4.062915156159487,4.010213560487514,4.357079097888212,4.536317759167288,3.8709392521845745,4.2436101683459455,4.509690888695292,3.541952570922339,3.799146865070103
640,4.432583011705336,4.005249753293404,4.410777108429672,4.465083352176494,3.817263716765038,4.233616838443325,4.479499195805378,3.6603677243453863,3.785477911492965
671,4.8017050183583585,3.9972595886202225,4.457326646603915,4.403927651295154,3.7760911093830094,4.213595111128164,4.435898071729973,3.6851466121635887,3.769459667450155
702,5.184735092014812,3.9868357445669123,4.459704414790627,4.353961905416044,3.748709489982766,4.186260497210345,4.382359187382388,3.671277913439832,3.752950662528324
601,4.090814632924165,4.194152189503317,4.343740753246902,4.009111165126921,3.200101247228994,3.9152830239410825,4.334480108610602,4.150494702159486,3.7179094285898415
602,4.268346485788038,4.249081262676121,4.454058383948251,4.204145520896818,3.3391055667466896,4.022459313440393,4.431207102957973,4.077867206283345,3.794810389286237
631,3.973889040761813,4.131335405039991,4.256899839688119,3.7671600624036348,3.0353647939568633,3.7921129298695124,4.219951704673871,4.277072726421535,3.620225695825363
632,4.527055603108785,4.2321886779033875,4.399455122037645,3.980682231304634,3.185515048764006,3.904127494900779,4.346552771023211,4.216976774139068,3.7094635705067027
633,4.565263908700253,4.282270828457943,4.507874293156966,4.161224124689467,3.3163445065532473,4.00965691151502,4.444735356092107,4.1621293083448165,3.7886606196994794
662,3.9732338432859744,4.142232492345791,4.277750480522233,3.71021329934233,3.0163228328677762,3.7753352951825896,4.203729782501005,4.2692478992308605,3.6012478067779625
663,4.41140733229429,4.238392069408951,4.429997088850838,3.9063880806681137,3.164243579949466,3.8863316279854345,4.338994715018295,4.234533582345579,3.692833959948471
664,4.641694803755039,4.293391364942327,4.510666441039138,4.082119639714106,3.2870046053554853,3.9909200290559035,4.442423639208748,4.200182812644687,3.7709550966565075
665,4.762659435982464,4.312472241820052,4.572806729102171,4.236552756725359,3.3958922388812036,4.087318454981402,4.519839875336956,4.165235336746052,3.8317598607168364
694,4.293436513303124,4.223992137467457,4.365560640100295,3.8140951905316083,3.1162600725544474,3.860976906757319,4.296038038638848,4.255765683734209,3.653549181378228
695,4.676997851556157,4.279291917441469,4.449610054917386,3.9857364051086694,3.240527613038865,3.9651365702764743,4.404913820779832,4.2439351405145,3.727467530981592
696,4.756253091347309,4.302367454843255,4.508317539363528,4.143953668042213,3.3530791693899333,4.061549004046984,4.485509941394756,4.2099563649400995,3.787074366489019
692,3.3872821235342836,4.029869927549699,4.065262113219902,3.410807922945491,2.8114122235991816,3.6378365995521893,4.010676854182821,4.145219326272434,3.4730712188204365
693,3.871275043885755,4.132402275732982,4.233712144951362,3.620128647025325,2.972773358902505,3.750976802316133,4.162159223001787,4.224874942251992,3.567000812025766
720,1.8024120331806697,3.5643595184685086,3.4704922075905444,2.6568697974705167,2.2588783933639034,3.237164438166925,3.471240692705633,3.2946647906590876,3.1328214868489628
721,2.334561041872481,3.723033716872399,3.656986470808714,2.8768059380797038,2.4342843554988836,3.364470064702095,3.6383198305231854,3.5290459242031726,3.234870055903306
722,2.8563936957901537,3.8748912007865286,3.837341315682116,3.095572137648505,2.605279826274347,3.487731869830423,3.801155220805617,3.778491631950942,3.3349020960547016
723,3.352444964439496,4.004062524901949,4.007446111641272,3.309360322748635,2.7700446737872246,3.6056424570935643,3.957839957564609,4.000721671452647,3.430410861691513
724,3.803275000762931,4.102651991552664,4.15922313372792,3.5146580755421564,2.9253594930306646,3.7189750884147372,4.104478833371498,4.161066438076864,3.5196424531697623
725,4.192350290167299,4.182907692010533,4.28108508274976,3.7063683814011323,3.0675056780871293,3.828353188074182,4.234878042183389,4.278314121166133,3.6014209741776746
752,2.3733811286262303,3.6834168131926077,3.6000175776735817,2.798482712682217,2.3995638067256673,3.328023650654714,3.581830454422807,3.2766471719434396,3.20055858803234
753,2.884930548079683,3.8250012680052485,3.7740517762070556,3.0045395068388565,2.567521879704734,3.44907658803473,3.7414255263405565,3.5768430485262552,3.2939947008319077
754,3.3808784793512374,3.952884644077024,3.9364437295613954,3.208065310471156,2.7291463275451386,3.56658214368381,3.8946168429413444,3.8707989062256214,3.383626617689231
755,3.8335723097648775,4.057532294279854,4.080845410188507,3.406295621072898,2.8825064439120363,3.6796992334411716,4.037758981976385,4.111118859838092,3.4681345518538578
784,2.9403318352645305,3.7653860460698603,3.699243068152651,2.9244573618977796,2.530966376795403,3.4047679609922312,3.672506774985308,3.438901503594705,3.252773986235688
785,3.4539423745563167,3.8849957998021125,3.858266197677469,3.115728395584563,2.6914321601344193,3.52024544572269,3.8221962101893965,3.7740948757857087,3.3363170830185176
815,2.989658278327371,3.7016200147025717,3.6134954371168644,2.8630613410891375,2.4966556680017256,3.354827787883009,3.5942691044812527,3.3448125245492815,3.2131565645231497
726,4.497741551480502,4.2384740594724715,4.3696979802876275,3.882594796687009,3.1960494163521966,3.932736017589569,4.343454707637363,4.307789517793477,3.6734617934059735
727,4.650114563071442,4.276154989966377,4.432374201871214,4.045881768994041,3.3135706860928105,4.0300669693559605,4.42276400020447,4.2691069267053425,3.734706986126639
757,4.460982661373844,4.185701546312943,4.290076185821366,3.7772901353008113,3.1592467845110894,3.8932122003357,4.271399378245107,4.330823364664424,3.6172571128272377
758,4.65363447869019,4.234991607963682,4.357146702221428,3.9477105332512856,3.282642613959063,3.9913469082324067,4.350234744967288,4.288663863779561,3.6799416121953676
759,4.8481576992163795,4.283847644179202,4.407869903215618,4.1026924609841195,3.3956415864739737,4.078793114031601,4.402024243822462,4.23748873821704,3.733680758434705
731,5.393944600870606,4.199281762122961,4.515634416863875,4.413828384405338,3.6713615506221986,4.249926443306489,4.475408801272213,3.9692667616867414,3.836741005045358
761,5.402767821013667,4.245897064711771,4.470941092676561,4.317992060560023,3.5827137063410417,4.194879035779191,4.421585180960234,4.117680884337123,3.803129468351738
762,5.532075258190167,4.171282493181403,4.478146679086461,4.37874506590499,3.653807226593334,4.200648226341508,4.395297800415436,3.990138871649272,3.800093268185165
732,5.598571074155963,4.096566738714273,4.4948351453272135,4.404845522109271,3.719353192233851,4.214112094692457,4.413430034485977,3.8053102953122284,3.7978911008010883
733,5.535453339577906,3.9721087608118193,4.443547942738181,4.325814761871838,3.7323956329851358,4.14637280176661,4.316332918866104,3.599484511455289,3.731017040053441
734,5.082241887840272,3.8337345210297062,4.390593358389273,4.193631929644626,3.733666058231628,4.060638959245978,4.199357919212858,3.2572502275022313,3.6470288847360255
763,5.6510909344942295,4.07017502979356,4.448518452682043,4.383202257049236,3.7059130330923074,4.164462925262832,4.33506078190641,3.807556110313678,3.766014485429899
764,5.594650256818404,3.951430298827974,4.3984447547999075,4.316493502840041,3.720472542630614,4.099046681702269,4.2430723824096255,3.5608069007704533,3.703628676073887
794,5.713925897481815,4.041049572249303,4.3932459345284975,4.3843840663908065,3.697025405336686,4.108423355043005,4.252520019712669,3.8622657829341414,3.7285654870585674
